State,University/College ,Campus,"Student
enrollment1","Violent
crime","Murder and
nonnegligent
manslaughter",Rape2,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson3,,,,,,,,,,,,,
ALASKA,University of Alaska:,Anchorage,"24,144",1,0,0,0,1,70,3,62,5,0
,,Fairbanks,"12,738",3,0,3,0,0,43,3,34,6,0
ARIZONA,Arizona State University,Main Campus,"127,582",49,0,21,5,23,739,56,667,16,1
,Arizona Western College,,"11,492",0,0,0,0,0,11,0,11,0,0
,Central Arizona College,,"8,086",0,0,0,0,0,17,2,15,0,0
,Northern Arizona University,,"34,803",13,0,9,1,3,233,11,220,2,1
,University of Arizona,,"48,318",32,0,19,3,10,656,45,597,14,1
ARKANSAS,Arkansas State University:,Beebe,"5,423",0,0,0,0,0,10,1,8,1,0
,,Jonesboro,"19,032",5,0,3,0,2,47,10,36,1,0
,,Newport,"4,794",0,0,0,0,0,0,0,0,0,0
,Arkansas Tech University,,"13,487",3,0,2,0,1,78,4,73,1,0
,Henderson State University,,"3,850",2,0,1,1,0,34,4,29,1,0
,Southern Arkansas University,,"5,467",0,0,0,0,0,23,1,22,0,0
,University of Arkansas:,Fayetteville,"30,378",4,0,4,0,0,163,20,114,29,0
,,Little Rock,"14,429",1,0,0,1,0,49,5,42,2,0
,,Medical Sciences,"3,106",8,0,0,0,8,82,1,76,5,0
,,Monticello,"4,302",4,0,4,0,0,12,2,10,0,0
,,Pine Bluff,"2,872",0,0,0,0,0,67,6,60,1,0
,University of Central Arkansas,,"12,948",4,0,2,1,1,55,2,52,1,0
CALIFORNIA,Allan Hancock College,,"17,070",0,0,0,0,0,9,0,9,0,0
,California State Polytechnic University:,Pomona,"28,093",8,0,2,1,5,165,24,130,11,0
,,San Luis Obispo,"23,630",4,0,3,0,1,122,15,105,2,0
,California State University:,Bakersfield,"12,128",2,0,1,0,1,67,14,52,1,0
,,Channel Islands,"8,336",4,0,3,1,0,64,0,62,2,0
,,Chico,"19,754",6,0,3,1,2,127,2,119,6,1
,,Dominguez Hills,"17,926",6,0,2,3,1,21,4,17,0,0
,,East Bay,"19,613",4,0,3,0,1,96,15,78,3,0
,,Fresno,"27,251",11,0,3,2,6,162,17,129,16,4
,,Fullerton,"47,158",6,1,3,0,2,204,8,194,2,0
,,Long Beach,"41,221",4,0,0,2,2,125,0,111,14,0
,,Los Angeles,"30,038",4,0,1,1,2,99,4,89,6,0
,,Monterey Bay,"8,502",9,0,2,1,6,48,6,41,1,0
,,Northridge,"44,639",8,0,3,2,3,220,2,214,4,0
,,Sacramento,"35,173",3,0,0,1,2,162,13,145,4,0
,,San Bernardino,"22,286",4,0,2,1,1,69,4,57,8,0
,,San Jose,"39,002",23,0,8,4,11,287,22,255,10,3
,,San Marcos,"17,042",1,0,0,1,0,21,1,20,0,0
,,Stanislaus,"11,767",1,0,1,0,0,44,0,38,6,0
,Chaffey College,,"29,808",3,0,0,1,2,35,3,28,4,0
,College of the Sequoias,,"15,686",0,0,0,0,0,40,5,30,5,0
,Contra Costa Community College,,"53,483",1,0,0,1,0,111,14,94,3,0
,Cuesta College,,"15,212",0,0,0,0,0,7,0,7,0,0
,El Camino College,,"33,616",3,0,0,2,1,60,2,57,1,1
,Foothill-De Anza College,,"61,553",2,0,1,1,0,28,4,24,0,0
,Humboldt State University,,"9,262",5,0,1,1,3,120,15,103,2,1
,Irvine Valley College,,"20,065",0,0,0,0,0,11,2,9,0,0
,Marin Community College,,"8,140",3,0,0,0,3,17,0,17,0,0
,Mt. San Jacinto College,,"20,992",2,0,0,1,1,22,3,13,6,0
,Pasadena Community College,,"37,252",0,0,0,0,0,74,4,64,6,0
,Riverside Community College,,"60,699",2,0,0,2,0,39,3,32,4,1
,San Bernardino Community College,,"28,807",1,0,1,0,0,40,1,34,5,0
,San Diego State University,,"37,748",20,0,7,4,9,441,38,389,14,5
,San Francisco State University,,"33,506",14,0,5,7,2,196,22,168,6,0
,San Jose/Evergreen Community College,,"28,801",0,0,0,0,0,27,8,18,1,0
,Sonoma County Junior College,,"30,597",2,0,1,0,1,55,2,53,0,0
,Sonoma State University,,"10,468",12,0,10,0,2,68,26,42,0,0
,State Center Community College District,,"63,592",0,0,0,0,0,136,11,120,5,2
,University of California:,Berkeley,"44,235",70,1,13,22,34,763,56,646,61,0
,,Davis,"39,783",14,0,6,2,6,906,86,794,26,2
,,Irvine,"37,170",21,0,7,1,13,464,19,437,8,3
,,Los Angeles,"46,592",89,0,23,8,58,756,132,608,16,2
,,"Medical Center, Sacramento5",,7,0,1,1,5,141,3,131,7,1
,,Merced,"8,388",6,0,4,0,2,89,8,77,4,0
,,Riverside,"24,907",11,0,5,3,3,305,32,267,6,0
,,San Diego,"37,744",10,0,2,0,8,502,24,419,59,1
,,San Francisco,"3,201",11,0,1,7,3,371,15,351,5,2
,,Santa Barbara,"26,561",61,0,37,2,22,341,17,320,4,0
,,Santa Cruz,"20,592",15,0,8,0,7,184,20,162,2,1
,Ventura County Community College District,,"50,436",2,0,0,1,1,52,15,35,2,1
,West Valley-Mission College,,"24,612",1,0,0,1,0,26,4,22,0,0
COLORADO,Adams State University,,"4,217",1,0,1,0,0,30,0,28,2,0
,Aims Community College,,"8,436",0,0,0,0,0,1,0,1,0,0
,Arapahoe Community College,,"14,803",0,0,0,0,0,8,0,7,1,0
,Auraria Higher Education Center5,,,10,0,0,3,7,139,15,116,8,1
,Colorado School of Mines,,"6,994",1,0,0,0,1,79,6,69,4,0
,Colorado State University,Fort Collins,"37,676",10,0,2,1,7,393,11,378,4,1
,Fort Lewis College,,"3,730",5,0,5,0,0,27,7,20,0,0
,Pikes Peak Community College,,"18,604",1,0,0,0,1,8,0,7,1,0
,University of Colorado:,Boulder,"39,302",20,0,14,2,4,465,28,423,14,2
,,Colorado Springs,"16,899",8,0,7,0,1,48,1,45,2,0
,,Denver,"31,912",2,0,0,1,1,101,7,82,12,0
,University of Northern Colorado,,"15,825",2,0,1,1,0,119,5,111,3,2
CONNECTICUT,Central Connecticut State University,,"14,006",1,0,0,1,0,25,6,19,0,0
,Eastern Connecticut State University,,"5,899",1,0,1,0,0,33,0,31,2,0
,Southern Connecticut State University,,"11,642",1,0,1,0,0,30,0,30,0,0
,University of Connecticut,"Storrs, Avery Point, and Hartford5",,3,0,2,0,1,112,15,94,3,2
,Western Connecticut State University,,"6,675",1,0,1,0,0,14,1,12,1,1
,Yale University,,"13,972",3,0,1,0,2,258,40,216,2,0
DELAWARE,Delaware State University,,"4,633",8,0,1,2,5,65,5,60,0,0
,University of Delaware,,"25,534",7,0,4,0,3,177,7,169,1,2
FLORIDA,Florida A&M University,,"10,986",1,0,0,1,0,65,29,34,2,0
,Florida Atlantic University,,"37,588",8,0,5,0,3,116,6,106,4,0
,Florida Gulf Coast University,,"16,878",3,0,3,0,0,21,0,16,5,0
,Florida International University,,"70,581",15,0,10,2,3,192,9,180,3,0
,Florida Polytechnic University,,"1,519",0,0,0,0,0,4,0,4,0,0
,Florida SouthWestern State College,,"22,279",2,0,2,0,0,7,0,7,0,0
,Florida State University:,Panama City5,,0,0,0,0,0,2,1,1,0,0
,,Tallahassee,"46,946",17,0,5,10,2,350,29,296,25,1
,New College of Florida,,896,0,0,0,0,0,12,0,12,0,0
,Northwest Florida State College,,"7,962",0,0,0,0,0,10,0,10,0,0
,Pensacola State College,,"13,734",2,0,0,0,2,24,1,23,0,0
,Santa Fe College,,"19,571",3,0,1,0,2,17,2,15,0,0
,Tallahassee Community College,,"16,944",0,0,0,0,0,43,7,35,1,0
,University of Central Florida,,"78,073",15,0,9,2,4,246,34,203,9,2
,University of Florida,,"59,603",16,0,10,1,5,302,22,258,22,1
,University of North Florida,,"19,547",3,0,3,0,0,72,10,62,0,0
,University of South Florida:,St. Petersburg,"5,864",1,0,1,0,0,29,3,25,1,0
,,Tampa,"51,282",12,0,7,1,4,237,11,220,6,0
,University of West Florida,,"16,374",1,0,1,0,0,52,0,52,0,0
GEORGIA6,Abraham Baldwin Agricultural College,,"6,347",2,0,2,0,0,12,2,10,0,0
,Albany Technical College,,"4,587",0,0,0,0,0,2,0,2,0,0
,Augusta University,,"9,278",7,0,0,5,2,127,2,120,5,0
,Bainbridge State College5,,,0,0,0,0,0,0,0,0,0,0
,Chattahoochee Technical College,,"14,886",0,0,0,0,0,3,0,3,0,0
,Emory University,,"15,831",18,0,13,3,2,356,18,335,3,0
,Fort Valley State University,,"3,044",0,0,0,0,0,20,3,17,0,0
,Georgia College and State University,,"7,977",2,0,1,0,1,26,4,20,2,0
,Georgia Gwinnett College,,"15,116",4,0,0,0,4,40,2,38,0,0
,Georgia Institute of Technology,,"34,108",7,0,1,4,2,322,36,255,31,2
,Georgia Southern University,,"31,503",7,0,7,0,0,90,2,88,0,2
,Georgia Southwestern State University,,"3,794",3,0,1,0,2,36,0,35,1,0
,Georgia State University,,"38,731",15,0,2,9,4,195,4,184,7,1
,Gordon State College,,"4,696",1,0,1,0,0,12,1,10,1,0
,Kennesaw State University,,"41,439",5,0,4,0,1,92,6,85,1,0
,Mercer University,,"9,692",3,0,3,0,0,55,3,46,6,0
,Middle Georgia State University,,"9,182",1,0,0,1,0,25,1,22,2,0
,Morehouse College,,"2,326",2,0,0,1,1,45,21,24,0,0
,Savannah Technical College,,"5,819",0,0,0,0,0,10,0,8,2,0
,Southern Crescent Technical College,,"6,610",0,0,0,0,0,2,1,1,0,0
,Spelman College,,"2,171",0,0,0,0,0,9,1,8,0,0
,University of Georgia,,"41,538",16,0,11,2,3,259,35,220,4,0
,West Georgia Technical College,,"9,627",0,0,0,0,0,17,1,16,0,0
,Young Harris College,,"1,366",0,0,0,0,0,4,0,4,0,0
ILLINOIS,Chicago State University,,"3,702",1,0,1,0,0,8,0,8,0,0
,College of DuPage,,"43,669",3,0,3,0,0,11,0,11,0,0
,College of Lake County,,"23,794",0,0,0,0,0,15,0,15,0,0
,Eastern Illinois University,,"8,991",16,0,5,0,11,30,4,24,2,0
,Elgin Community College,,"15,074",0,0,0,0,0,11,0,11,0,0
,Illinois State University,,"22,948",20,0,11,1,8,102,12,90,0,1
,John Wood Community College,,"2,838",0,0,0,0,0,0,0,0,0,0
,Joliet Junior College,,"23,177",1,0,0,0,1,12,0,12,0,0
,Lake Land College,,"14,957",0,0,0,0,0,0,0,0,0,0
,Lewis University,,"7,939",3,0,2,0,1,17,0,17,0,0
,Lincoln Land Community College,,"11,135",0,0,0,0,0,1,0,1,0,0
,McHenry County College,,"10,668",0,0,0,0,0,12,0,12,0,0
,Moraine Valley Community College,,"23,362",0,0,0,0,0,6,0,6,0,0
,Morton College,,"6,254",0,0,0,0,0,4,0,4,0,0
,Northeastern Illinois University,,"11,220",0,0,0,0,0,14,2,11,1,0
,Northern Illinois University,,"20,443",11,0,6,0,5,78,6,72,0,1
,Oakton Community College,,"18,251",2,0,0,1,1,6,0,6,0,0
,Parkland College,,"12,238",3,0,0,0,3,12,1,11,0,0
,Prairie State College,,"8,719",0,0,0,0,0,6,0,6,0,0
,Rend Lake College,,"4,908",0,0,0,0,0,0,0,0,0,0
,Rock Valley College,,"10,387",1,0,0,1,0,17,2,14,1,0
,Southern Illinois University:,Carbondale,"16,271",7,0,4,0,3,89,14,74,1,3
,,School of Medicine5,,0,0,0,0,0,1,0,1,0,0
,South Suburban College,,"9,136",0,0,0,0,0,8,2,6,0,0
,Southwestern Illinois College,,"16,187",0,0,0,0,0,22,3,18,1,0
,Triton College,,"17,777",1,0,0,0,1,14,0,14,0,0
,University of Illinois:,Springfield,"5,878",0,0,0,0,0,7,0,7,0,0
,,Urbana,"52,986",21,0,5,2,14,261,14,244,3,2
,Waubonsee Community College,,"17,229",0,0,0,0,0,10,0,10,0,0
,Western Illinois University,,"10,905",5,0,4,0,1,53,2,51,0,0
INDIANA,Ball State University,,"27,369",10,0,6,4,0,237,42,195,0,0
,Indiana State University7,,"16,180",14,0,2,3,9,,1,,3,
,Indiana University:,Bloomington,"46,723",31,0,18,3,10,257,17,226,14,
,,Indianapolis,"34,699",20,0,9,4,7,217,13,197,7,1
,,Northwest,"5,152",7,1,0,3,3,22,8,14,0,0
,,South Bend,"6,406",4,0,2,0,2,17,0,16,1,0
,,Southeast,"6,415",2,0,1,0,1,8,0,8,0,0
,Purdue University,,"45,685",13,0,7,5,1,293,28,262,3,0
IOWA,Iowa State University,,"39,108",11,0,9,0,2,141,5,135,1,0
,University of Iowa,,"35,876",26,0,7,2,17,178,14,163,1,0
,University of Northern Iowa,,"14,221",4,0,3,1,0,47,2,42,3,0
KANSAS,Fort Hays State University,,"17,953",4,0,3,0,1,30,7,22,1,0
,Kansas State University,,"25,450",4,0,3,0,1,67,11,54,2,0
,Pittsburg State University,,"8,330",0,0,0,0,0,56,1,54,1,0
,University of Kansas:,Main Campus,"31,136",2,0,1,0,1,97,6,88,3,1
,,Medical Center5,,19,0,1,2,16,111,0,108,3,0
,Washburn University,,"7,745",4,0,3,0,1,56,2,53,1,0
KENTUCKY,Eastern Kentucky University,,"19,355",5,0,4,1,0,97,10,85,2,1
,Kentucky State University,,"2,919",0,0,0,0,0,1,0,1,0,0
,Morehead State University,,"12,217",1,0,1,0,0,33,1,31,1,0
,Murray State University,,"11,095",4,0,3,0,1,63,11,52,0,0
,Northern Kentucky University,,"16,539",6,0,6,0,0,26,0,26,0,0
,University of Kentucky,,"31,102",11,0,5,2,4,426,20,394,12,3
,University of Louisville,,"24,828",13,0,7,6,0,292,27,251,14,0
,Western Kentucky University,,"24,560",4,0,2,0,2,85,5,76,4,0
LOUISIANA,Delgado Community College,,"20,393",0,0,0,0,0,7,2,4,1,0
,Grambling State University,,"6,424",12,0,3,1,8,76,21,53,2,0
,Louisiana State University:,Baton Rouge,"33,554",24,0,11,4,9,302,45,240,17,2
,,"Health Sciences Center, Shreveport","1,113",18,0,1,0,17,89,1,84,4,0
,,Shreveport,"7,981",2,0,0,0,2,15,0,15,0,0
,Louisiana Tech University,,"13,893",1,0,0,0,1,75,12,62,1,0
,McNeese State University,,"8,567",6,0,1,2,3,23,2,21,0,0
,Nicholls State University,,"7,486",1,0,1,0,0,27,2,25,0,0
,Southeastern Louisiana University,,"17,714",11,0,6,1,4,95,8,86,1,0
,Southern University and A&M College:,Baton Rouge,"6,988",6,0,0,0,6,124,13,110,1,3
,,New Orleans,"3,111",0,0,0,0,0,0,0,0,0,0
,,Shreveport,"4,380",0,0,0,0,0,0,0,0,0,0
,Tulane University,,"14,286",7,0,1,2,4,171,16,148,7,2
,University of Louisiana:,Lafayette,"19,517",13,0,1,1,11,111,16,94,1,0
,,Monroe,"10,337",4,0,2,0,2,35,3,31,1,0
,University of New Orleans,,"9,910",1,0,0,0,1,58,8,50,0,0
MAINE,University of Maine:,Farmington,"2,477",0,0,0,0,0,8,0,7,1,0
,,Orono,"12,722",0,0,0,0,0,70,3,67,0,2
,University of Southern Maine,,"10,213",1,0,0,0,1,33,0,33,0,0
MARYLAND,Bowie State University,,"6,998",10,0,2,0,8,40,12,26,2,0
,Coppin State University,,"3,357",4,0,0,0,4,32,13,18,1,0
,Frostburg State University,,"6,122",4,0,3,0,1,22,0,22,0,0
,Hagerstown Community College,,"5,761",1,0,0,1,0,0,0,0,0,0
,Morgan State University,,"8,375",12,0,1,10,1,51,4,45,2,0
,Prince George's County Community College,,"16,868",2,0,1,1,0,33,0,33,0,0
,Salisbury University,,"9,529",3,0,2,0,1,64,4,60,0,0
,St. Mary's College,,"1,690",6,0,5,0,1,33,8,25,0,0
,Towson University,,"25,744",13,0,2,4,7,74,10,64,0,1
,University of Baltimore,,"6,666",1,0,0,1,0,21,0,19,2,0
,University of Maryland:,Baltimore City,"7,495",8,0,0,7,1,63,2,60,1,1
,,Baltimore County,"15,681",4,0,0,4,0,76,15,58,3,0
,,College Park,"44,052",8,0,3,3,2,296,29,243,24,0
,,Eastern Shore,"3,875",4,0,0,4,0,14,7,5,2,0
MASSACHUSETTS,Assumption College,,"2,728",5,0,5,0,0,23,5,17,1,0
,Babson College6,,"4,079",4,0,2,0,2,28,0,28,0,
,Becker College,,"2,290",0,0,0,0,0,10,1,9,0,0
,Bentley University,,"5,810",7,0,2,0,5,30,3,27,0,0
,Boston College6,,"15,903",2,0,1,0,1,91,3,88,0,0
,Boston University,,"41,418",11,0,8,1,2,389,17,365,7,0
,Brandeis University,,"6,330",1,0,0,0,1,25,1,24,0,
,Bridgewater State University,,"13,215",9,0,4,0,5,22,0,21,1,0
,Bristol Community College,,"10,513",0,0,0,0,0,4,0,4,0,
,Bunker Hill Community College,,"17,830",1,0,0,0,1,25,0,25,0,
,Clark University,,"3,596",1,0,1,0,0,12,3,9,0,
,College of the Holy Cross,,"2,922",1,0,1,0,0,33,9,24,0,
,Dean College,,"1,595",0,0,0,0,0,19,5,14,0,0
,Emerson College,,"4,815",7,0,7,0,0,21,1,20,0,
,Endicott College,,"6,789",1,0,0,0,1,17,0,17,0,
,Fitchburg State University6,,"11,496",3,0,3,0,0,10,1,9,0,0
,Framingham State University,,"9,007",0,0,0,0,0,26,0,26,0,
,Gordon College,,"2,424",1,0,1,0,0,23,0,23,0,
,Harvard University,,"40,803",9,0,2,2,5,442,48,391,3,
,Holyoke Community College,,"7,113",2,0,1,0,1,19,0,19,0,0
,Lasell College6,,"2,351",3,0,2,0,1,6,1,5,0,0
,Massachusetts Bay Community College,,"7,227",0,0,0,0,0,1,0,1,0,
,Massachusetts College of Liberal Arts,,"2,157",2,0,2,0,0,9,0,9,0,0
,Massachusetts Institute of Technology,,"12,168",2,0,0,0,2,285,13,271,1,0
,Massasoit Community College,,"10,323",1,0,0,1,0,6,0,6,0,0
,MCPHS University,,"7,534",0,0,0,0,0,3,0,3,0,
,Merrimack College,,"5,061",8,0,1,0,7,26,5,21,0,
,Mount Holyoke College,,"2,571",3,0,1,1,1,30,3,27,0,0
,Mount Wachusett Community College,,"5,194",0,0,0,0,0,5,0,5,0,
,Northeastern University,,"27,795",19,0,10,2,7,292,17,267,8,
,North Shore Community College,,"8,491",1,0,0,0,1,8,0,8,0,
,Quinsigamond Community College,,"10,234",1,0,0,0,1,14,2,12,0,0
,Salem State University,,"10,556",1,0,0,0,1,26,2,24,0,1
,Smith College,,"3,259",2,0,2,0,0,48,6,42,0,0
,Springfield College,,"3,366",3,0,2,1,0,28,5,22,1,
,Springfield Technical Community College,,"7,431",0,0,0,0,0,16,0,16,0,0
,Stonehill College,,"2,592",3,0,1,0,2,11,0,11,0,
,University of Massachusetts:,Amherst,"35,156",10,0,6,2,2,161,7,154,0,3
,,"Harbor Campus, Boston","19,783",0,0,0,0,0,31,1,30,0,0
,,"Medical Center, Worcester","1,120",21,0,0,0,21,53,0,52,1,0
,Wellesley College,,"2,674",1,0,0,0,1,26,3,23,0,
,Wentworth Institute of Technology,,"4,763",1,0,1,0,0,34,1,31,2,
,Western New England University,,"4,130",4,0,3,0,1,21,1,20,0,
,Westfield State University,,"7,598",5,0,4,0,1,12,2,10,0,0
,Worcester Polytechnic Institute,,"7,338",3,0,0,0,3,25,1,24,0,0
,Worcester State University6,,"10,276",2,0,0,0,2,8,1,6,1,1
MICHIGAN,Central Michigan University,,"26,971",4,0,4,0,0,48,5,43,0,0
,Delta College,,"11,644",0,0,0,0,0,12,2,10,0,0
,Eastern Michigan University,,"23,715",18,0,11,2,5,99,8,88,3,0
,Ferris State University,,"16,549",8,0,1,0,7,36,3,31,2,0
,Grand Rapids Community College,,"19,969",0,0,0,0,0,50,1,49,0,0
,Grand Valley State University,,"28,190",4,0,2,0,2,90,7,82,1,0
,Kalamazoo Valley Community College,,"12,039",0,0,0,0,0,11,0,11,0,0
,Kellogg Community College,,"7,236",1,0,0,0,1,3,0,3,0,0
,Kirtland Community College,,"1,929",0,0,0,0,0,0,0,0,0,0
,Lansing Community College,,"17,503",0,0,0,0,0,22,0,22,0,0
,Macomb Community College,,"29,245",0,0,0,0,0,18,0,18,0,0
,Michigan State University,,"55,423",23,0,10,0,13,492,50,406,36,0
,Michigan Technological University,,"7,727",3,0,3,0,0,18,0,18,0,0
,Mott Community College,,"10,504",1,0,0,1,0,8,0,8,0,0
